preference_model,pricing_model,n_items,gamma,delta,K,alpha,lambda_,total_revenue,avg_revenue_per_user,utility_gap,revenue_gap,exposure_gap,exposure_random_gap,minority_exposure,price_error_minority,price_error_all
zipfian,oracle,50,0.0,0.95,1,0.9,0.25,94.71400000000001,0.3157133333333334,0.07375609252966144,0.30274181818181817,0.019999999999999976,0.11999999999999998,0.08,,
zipfian,oracle,50,0.0,0.95,3,0.9,0.1,234.385,0.7812833333333333,-0.020172116993762174,0.38933323975294776,-0.06555555555555556,0.034444444444444444,0.16555555555555554,,
zipfian,oracle,50,0.0,0.95,3,0.9,0.25,236.284,0.7876133333333333,-0.017956815084703592,0.38225472689075624,-0.07333333333333336,0.026666666666666644,0.17333333333333334,,
zipfian,oracle,50,0.0,0.99,1,0.9,0.1,223.826,0.7460866666666667,0.1629323977055559,0.7771709090909091,0.019999999999999976,0.11999999999999998,0.08,,
zipfian,oracle,50,0.0,0.99,1,0.9,0.25,223.826,0.7460866666666667,0.1629323977055559,0.7771709090909091,0.019999999999999976,0.11999999999999998,0.08,,
zipfian,oracle,50,0.0,0.99,3,0.9,0.1,237.578,0.7919266666666667,0.004677070613241602,0.4096497695852535,-0.06555555555555559,0.034444444444444416,0.16555555555555557,,
zipfian,oracle,50,0.0,0.99,3,0.9,0.25,237.578,0.7919266666666667,0.004677070613241602,0.4096497695852535,-0.0677777777777778,0.03222222222222221,0.16777777777777778,,
zipfian,oracle,50,0.3,0.95,1,0.9,0.1,58.781,0.19593666666666668,0.0316738933030647,0.06966181818181819,0.01666666666666665,0.11666666666666665,0.08333333333333333,,
zipfian,oracle,50,0.3,0.95,1,0.9,0.25,169.177,0.5639233333333333,0.1205992591908527,0.5801054545454547,0.003333333333333313,0.10333333333333332,0.09666666666666666,,
zipfian,oracle,50,0.3,0.95,3,0.9,0.1,205.51000000000005,0.6850333333333335,0.01017349789415159,0.3712945454545455,-0.07222222222222224,0.027777777777777762,0.17222222222222222,,
zipfian,oracle,50,0.3,0.95,3,0.9,0.25,194.828,0.6494266666666667,-0.011062501844570721,0.43711791128579447,-0.05555555555555558,0.044444444444444425,0.15555555555555556,,
zipfian,oracle,50,0.3,0.99,1,0.9,0.1,201.31099999999998,0.6710366666666666,0.14509700741255835,0.7068181818181818,0.019999999999999976,0.11999999999999998,0.08,,
zipfian,oracle,50,0.3,0.99,1,0.9,0.25,201.31099999999998,0.6710366666666666,0.14509700741255835,0.7068181818181818,0.019999999999999976,0.11999999999999998,0.08,,
zipfian,oracle,50,0.3,0.99,3,0.9,0.1,205.257,0.68419,0.009780366170058008,0.41679416282642096,-0.06555555555555559,0.034444444444444416,0.16555555555555557,,
zipfian,oracle,50,0.3,0.99,3,0.9,0.25,205.00700000000003,0.6833566666666667,0.019414494600027615,0.35030909090909096,-0.07111111111111112,0.02888888888888888,0.1711111111111111,,
zipfian,oracle,50,0.7,0.95,1,0.9,0.1,35.449999999999996,0.11816666666666666,0.008901696610764329,0.020647272727272736,0.01666666666666665,0.11666666666666665,0.08333333333333333,,
zipfian,oracle,50,0.7,0.95,1,0.9,0.25,141.43200000000002,0.4714400000000001,0.1169393676872358,0.4512872727272727,-0.003333333333333355,0.09666666666666665,0.10333333333333333,,
zipfian,oracle,50,0.7,0.95,3,0.9,0.1,169.46100000000004,0.5648700000000001,0.019747731920906453,0.4016523297491039,-0.06333333333333335,0.03666666666666665,0.16333333333333333,,
zipfian,oracle,50,0.7,0.95,3,0.9,0.25,168.59500000000003,0.5619833333333334,0.016913675009660845,0.4428904249871992,-0.06444444444444447,0.035555555555555535,0.16444444444444445,,
zipfian,oracle,50,0.7,0.99,1,0.9,0.1,169.46500000000003,0.5648833333333334,0.14159665195527327,0.5203672727272728,0.019999999999999976,0.11999999999999998,0.08,,
zipfian,oracle,50,0.7,0.99,1,0.9,0.25,169.46500000000003,0.5648833333333334,0.14159665195527327,0.5203672727272728,0.019999999999999976,0.11999999999999998,0.08,,
zipfian,oracle,50,0.7,0.99,3,0.9,0.1,168.77100000000002,0.56257,0.01275476434300532,0.39595340501792115,-0.06555555555555559,0.034444444444444416,0.16555555555555557,,
zipfian,oracle,50,0.7,0.99,3,0.9,0.25,171.22900000000004,0.5707633333333335,0.038128937817268005,0.46149223041908655,-0.040000000000000036,0.05999999999999997,0.14,,
